,employee_id,avg_monthly_hrs,department,filed_complaint,last_evaluation,n_projects,recently_promoted,salary,satisfaction,status,tenure
48,101222,274,5,,0.9216,4,,1,0.923817,1,6
49,109202,160,4,,0.617626,2,,1,0.647948,0,4
50,102247,232,9,1.0,0.43248100000000006,4,,2,0.12209500000000001,0,3
51,101499,265,6,1.0,0.8996719999999999,4,,2,1.0,0,4
52,100868,212,1,,0.8906799999999999,2,,3,0.45372399999999996,0,2
53,118910,214,3,,0.667349,3,,2,0.564529,0,2
54,104951,269,2,,1.0,4,,1,0.526995,0,3
55,109819,256,4,,0.9119430000000001,5,,1,0.7798510000000001,1,5
56,113517,184,7,1.0,0.9084450000000001,4,,2,0.560242,0,2
57,117096,128,10,,,2,,1,0.425254,1,3
58,110888,152,0,,0.673508,6,,2,0.7203689999999999,0,3
59,109783,192,2,,0.652254,4,,2,0.696913,0,3
60,113744,159,4,,,4,,1,0.8380850000000001,0,3
61,117014,232,5,,0.973183,5,,2,0.921918,1,5
62,101644,208,3,1.0,0.8166899999999999,4,,1,0.8343790000000001,0,3
63,107763,186,4,1.0,0.848844,4,,1,0.643544,0,3
64,126572,276,10,,0.850814,7,,1,0.06629550000000001,1,4
65,101109,134,5,,0.847132,5,,1,0.663566,0,4
66,113239,256,5,,0.743221,3,,2,0.793582,0,4
67,108314,283,5,,0.640519,3,,1,0.44596800000000003,0,5
68,112702,157,10,,0.716197,4,,1,0.636262,0,4
69,112008,219,2,1.0,0.517559,4,,2,0.598769,0,4
70,104311,195,2,,0.679584,3,,1,0.649316,0,2
71,107675,268,5,,0.714623,4,,1,0.642979,0,3
72,106419,266,2,1.0,0.616688,4,,2,0.5541229999999999,0,3
73,122644,264,5,,0.936961,6,,2,0.115703,1,4
74,129463,258,5,,0.935781,4,,2,0.964426,1,5
75,119781,177,2,,0.841417,3,,2,0.8761549999999999,0,2
76,117646,273,4,1.0,0.8789100000000001,6,,1,0.0847984,1,4
77,106142,201,2,,0.6065550000000001,4,,1,0.608561,0,3
78,112263,232,5,,0.829786,6,,1,0.91896,0,6
79,111268,155,4,,0.537898,2,,1,0.345641,1,3
80,102172,183,5,,0.777449,3,,1,1.0,0,2
81,115399,237,2,,0.515568,4,,1,0.969877,0,3
82,111760,134,1,,0.7216279999999999,2,,3,0.626302,0,10
83,103698,212,2,,0.479365,4,,2,0.78591,0,2
84,128624,155,2,,0.440299,2,,1,0.415771,1,3
85,102266,242,10,,0.781111,6,,1,0.669866,1,5
86,106640,207,5,,0.971518,3,,1,0.620397,0,10
87,108402,261,5,1.0,1.0,5,,2,0.8933719999999999,1,5
88,113430,270,7,1.0,0.767967,3,,1,0.8123020000000001,0,2
89,112069,142,2,,0.974864,4,,1,0.746899,0,3
90,105021,263,3,1.0,0.68589,5,,2,0.659411,0,2
91,106612,258,5,,0.767079,4,,2,0.9441879999999999,0,3
92,131426,211,5,,0.51859,3,,2,0.6032390000000001,0,3
93,103271,269,3,,0.9306760000000001,6,,1,0.0945477,1,4
94,113867,202,2,,,3,,2,0.42550299999999996,1,3
95,112203,206,2,,1.0,6,,2,0.7835479999999999,1,5
96,112203,206,2,,1.0,6,,2,0.7835479999999999,1,5
97,105490,184,7,1.0,,3,,2,0.839356,0,3
98,109033,168,4,,0.88223,5,,1,0.929701,0,2
99,107620,229,7,,0.783213,5,,2,0.741678,0,2
100,118210,146,2,,0.580721,2,,1,0.43542299999999995,1,3
101,122572,132,2,,0.477055,2,,2,0.495775,1,3
102,120715,253,6,,0.890877,5,,1,0.686479,1,5
103,107957,207,5,1.0,,4,,1,0.9150469999999999,0,2
104,139834,215,10,1.0,0.742464,5,,2,0.6968340000000001,0,2
105,146220,274,9,,0.73758,4,,1,0.772181,0,2
106,111267,153,3,1.0,0.72014,4,,2,0.8962379999999999,0,2
107,115335,271,10,,0.930623,6,,2,0.11581099999999998,1,4
108,108799,225,5,,0.539891,3,,1,0.479494,0,2
109,100247,68,8,,,1,,1,0.6212118710642862,0,3
110,104254,307,5,,0.8573790000000001,3,,1,0.8310780000000001,1,5
111,119283,215,6,,,4,,3,0.78342,0,3
112,103621,281,5,,0.768422,7,,1,0.05245269999999999,1,4
113,125014,226,1,,0.9125200000000001,5,,2,0.84515,1,5
114,100385,238,6,1.0,0.655888,4,,2,0.949997,0,10
115,112274,262,2,,0.96521,5,,1,0.911536,1,6
116,119983,166,2,,0.478692,3,,1,0.274336,0,6
117,100777,155,4,1.0,0.360585,2,,2,0.70344,0,5
118,112669,244,2,1.0,0.844152,3,,2,0.907709,0,3
119,115694,167,0,,0.874656,3,,2,0.575996,0,4
120,117486,127,2,,0.7875439999999999,6,,1,0.537587,0,3
121,116281,140,2,,0.431742,2,,2,0.39772399999999997,1,3
122,134467,144,10,,0.539767,2,,1,0.511552,0,3
123,108518,129,7,,0.422229,2,,1,0.462792,1,3
124,122448,140,4,,0.457325,2,,1,0.360823,1,3
125,147049,98,4,,0.9762129999999999,5,,2,0.619492,0,2
126,119730,249,4,,0.8597440000000001,3,,2,0.7816390000000001,0,2
127,106113,139,7,,0.585046,2,,1,0.432417,1,3
128,117143,149,2,,0.42012,2,,2,0.38197600000000004,1,3
129,120768,129,7,,0.585855,2,,3,0.479842,1,3
130,125909,264,4,,0.89679,4,,2,0.8150850000000001,1,5
131,119296,157,4,,0.43213199999999996,2,,1,0.493738,1,3
132,114489,247,5,,0.538281,5,,3,0.581932,0,4
133,133284,166,2,,0.665425,3,,1,0.615027,0,2
134,111921,191,5,,0.903538,3,,1,0.651357,0,4
135,107239,151,7,,0.5108159999999999,2,,1,0.388506,1,3
136,110389,198,9,,,3,,1,0.6365689999999999,0,3
137,112817,257,2,,0.664783,4,,1,0.10920099999999999,1,3
138,102637,130,4,,0.45920600000000006,2,,2,0.415112,1,3
139,116178,146,5,,0.9124530000000001,4,,2,0.700237,0,2
140,116026,239,6,,0.919374,4,,1,0.8298719999999999,1,5
141,113338,140,2,,0.46797799999999995,2,,1,0.46188100000000004,1,3
142,102824,150,4,,,3,,3,0.982052,0,3
143,119214,260,5,,0.8432700000000001,3,,1,0.620843,0,3
144,113360,238,3,,0.48018900000000003,2,,1,0.951678,0,4
145,112791,262,4,,0.662341,5,,2,0.167312,0,6
146,125463,126,5,,0.46311800000000003,2,,1,0.427446,1,3
147,104993,216,4,,0.546653,4,,1,0.817086,0,2
148,109560,196,4,,0.638908,5,,1,0.9383229999999999,0,3
149,114743,230,2,,0.961628,4,,3,0.574238,0,3
150,103049,202,5,,0.5924550000000001,4,,1,0.7479060000000001,0,3
151,110587,258,4,,0.957026,4,,1,0.51132,0,3
152,118843,243,2,1.0,1.0,3,,2,0.675261,0,3
153,111489,229,2,1.0,0.9384120000000001,3,,2,0.8354520000000001,0,3
154,115199,164,3,,0.9085059999999999,4,,1,0.924063,0,4
155,114381,264,5,,,5,,1,0.885394,0,3
156,115952,204,2,,,3,,2,1.0,0,2
157,136199,220,4,1.0,,3,,1,0.9033209999999999,0,3
158,100178,153,10,,0.448672,2,,1,0.40621599999999997,1,3
159,111176,194,2,,0.651072,5,,2,0.44957600000000003,0,3
160,105219,143,5,,0.465362,2,,3,0.338598,0,3
161,103836,247,2,,0.9522700000000001,3,,2,0.5902930000000001,0,3
162,112788,202,2,,0.6245109999999999,4,,2,0.742425,0,3
163,100562,178,2,,,4,,1,0.758775,0,3
164,111208,183,10,,0.948047,5,,3,0.18751099999999998,0,5
165,109686,185,2,,,5,,2,0.944566,0,2
166,112762,201,5,1.0,0.8890290000000001,4,,2,0.600105,0,3
167,107021,230,7,1.0,0.905048,3,,3,0.9798290000000001,0,3
168,108850,277,5,,0.978016,6,,1,0.145739,1,5
169,103102,191,6,,,4,,2,0.818641,0,2
170,118729,232,7,,0.8423870000000001,5,,1,1.0,0,3
171,111694,228,4,,0.9701540000000001,3,,2,0.7086210000000001,0,2
172,104093,161,3,,0.5562229999999999,4,,1,0.884242,0,3
173,113153,246,2,,0.923536,6,,2,0.0778585,1,4
174,107692,225,3,,0.887343,3,,3,0.5873229999999999,0,3
175,112165,141,5,,0.49523599999999995,2,,2,0.37916700000000003,1,3
176,105468,280,2,,0.565752,3,,2,0.493396,0,2
177,103371,161,1,,0.634417,4,,3,0.836785,0,2
178,100233,172,2,,0.744644,5,,3,0.23335799999999998,0,4
179,108881,173,5,,0.48448199999999997,5,,2,0.462348,0,5
180,107107,211,2,,,3,,2,0.724874,0,3
181,112279,130,4,,0.502868,6,,2,0.765469,0,2
182,118087,264,7,,0.9935799999999999,4,,1,0.8934110000000001,1,5
183,118443,111,1,,0.562904,2,,3,0.5638310000000001,0,2
184,113046,158,3,,0.443358,2,,1,0.348893,1,3
185,110408,251,2,,0.952368,5,,1,0.8672799999999999,1,6
186,106946,247,5,,0.889754,3,,3,0.7515350000000001,0,2
187,100470,231,2,,0.533486,3,,1,0.5188470000000001,0,3
188,107982,244,3,,0.680662,5,,1,0.928567,0,2
189,103176,193,5,,0.8244040000000001,5,,2,0.880307,0,4
190,106971,188,5,,0.8766780000000001,3,,2,0.889267,0,4
191,111321,160,2,1.0,0.523097,2,1.0,1,0.49794700000000003,1,3
192,109590,155,10,,0.874397,3,,2,0.944692,0,2
193,106386,239,7,,0.551249,4,,1,0.9647459999999999,0,3
194,118809,262,4,,0.566444,5,,2,0.572875,0,3
195,118195,150,5,,0.47398599999999996,2,,2,0.372688,1,3
196,113028,166,5,,0.7495390000000001,3,,2,0.773857,0,3
197,118027,183,4,,0.417588,4,,2,0.9057040000000001,0,5
198,103858,166,2,,0.7027359999999999,3,1.0,3,0.7844439999999999,0,3
199,105277,195,4,,0.923616,3,,1,0.535514,0,10
200,139547,150,7,,0.876705,3,,2,0.9239,0,2
201,102763,184,4,,1.0,4,,1,0.983719,0,4
202,104196,168,6,,0.517706,4,,2,0.566822,0,3
203,109158,224,2,,0.624088,6,,2,0.22252600000000003,0,3
204,114890,169,5,,0.588568,6,,1,0.277802,0,4
205,116702,132,4,1.0,0.385922,4,,2,0.615468,0,5
206,126835,129,2,,0.508282,2,,1,0.48522299999999996,1,3
207,114163,156,5,,0.46322700000000006,2,,2,0.442458,1,3
208,100731,134,1,,0.755396,5,,3,0.629424,0,3
209,119995,133,4,,0.8907790000000001,4,,2,0.28178000000000003,0,6
210,111433,251,5,,0.807688,6,,1,0.0926197,1,4
211,101811,165,9,,0.538664,4,,1,0.658007,0,3
212,116804,176,2,1.0,0.9461729999999999,5,,1,0.18275,0,4
213,119761,200,2,,0.937844,5,,2,0.710721,0,3
214,103244,251,5,,0.904119,4,,2,0.867239,1,5
215,108823,108,8,,,2,,1,0.6212118710642862,0,3
216,123989,257,2,,0.9710110000000001,5,,1,0.829357,1,6
217,113383,263,3,,0.886998,5,,1,0.13792000000000001,1,4
218,103869,262,10,,0.950989,4,,2,0.860237,1,6
219,113352,266,3,,0.603819,5,,1,0.165847,0,7
220,109993,265,4,,0.5623779999999999,5,,1,0.846249,0,3
221,106961,180,6,,0.759716,4,,3,0.574609,0,3
222,115882,240,3,,0.896967,5,,2,0.9387030000000001,1,5
223,106005,171,10,,0.492071,2,,2,0.36930100000000005,0,3
224,119784,215,7,,0.48426199999999997,3,,1,0.9203290000000001,0,3
225,111869,198,5,1.0,,4,,1,0.614699,0,3
226,118398,250,2,,0.962093,5,,1,0.7995,1,5
227,107767,174,0,1.0,0.634783,5,,2,0.20813800000000002,0,5
228,110740,143,2,,0.6613359999999999,3,,2,0.6792229999999999,0,3
229,105807,136,2,,0.688041,4,,2,0.684866,0,2
230,116189,208,4,,0.765216,4,,2,1.0,0,2
231,108564,248,2,,0.864981,5,,1,0.832253,1,5
232,127703,156,2,,0.41995600000000005,2,,1,0.38645,1,3
233,105679,264,6,,0.49811300000000003,5,,2,0.9138,0,4
234,145444,231,5,,0.52869,4,,1,0.584036,0,3
235,120087,132,5,,0.47542399999999996,2,,2,0.323395,1,3
236,148842,232,2,,0.436913,5,,2,0.6646340000000001,0,4
237,104782,227,2,,0.917061,5,,2,0.394422,0,5
238,102486,183,5,,0.999808,2,,1,0.777812,0,2
239,136410,176,2,,0.9479569999999999,5,,2,0.857633,0,3
240,125918,220,6,,0.983498,4,,1,0.756659,1,5
241,101164,211,2,,0.527771,3,,2,0.9387049999999999,0,7
242,105584,287,2,,0.8096409999999999,5,,1,0.086102,1,4
243,111746,253,4,,0.5147689999999999,6,,2,0.618344,0,4
244,112914,151,3,,0.579692,2,,1,0.40174099999999996,1,3
245,105967,172,4,,0.794587,5,,2,0.613614,0,4
246,114151,135,10,,0.467866,2,,2,0.398806,1,3
247,104619,257,4,1.0,0.581388,2,,1,0.294889,0,6
248,108694,139,5,1.0,0.711504,6,,2,0.988189,0,5
249,108364,260,4,1.0,0.8205809999999999,3,,2,0.6676770000000001,0,4
250,106202,173,0,,0.916356,5,,1,0.9212239999999999,0,3
251,118588,147,5,,0.522608,2,,2,0.362178,1,3
252,112349,222,2,,0.6539020000000001,4,,2,0.66209,0,4
253,119555,243,2,,0.717037,6,,2,0.9054530000000001,0,3
254,113161,143,5,,0.48175100000000004,3,,2,0.550337,0,2
255,104509,110,5,,0.903709,3,,2,0.23732199999999998,0,4
256,103421,220,2,,0.628206,3,1.0,1,0.9186860000000001,0,7
257,119249,251,6,,0.9856010000000001,5,,1,0.9176540000000001,0,4
258,109878,173,5,,0.437241,5,,2,0.42870699999999995,0,5
259,103611,166,1,1.0,0.690199,3,,1,0.610741,0,3
260,113560,228,2,,0.641035,5,,2,0.9356760000000001,0,3
261,113915,232,2,,0.753922,3,,1,0.666411,0,3
262,100499,163,2,,0.897918,4,,2,0.562758,0,3
263,103824,173,2,,0.46743100000000004,6,,2,0.33751,0,7
264,112930,213,0,,0.53609,6,,2,0.20198,0,3
265,108458,142,2,,0.625659,4,,2,0.573383,0,4
266,101294,156,2,1.0,0.5434829999999999,3,,2,0.603757,0,3
267,109170,227,2,,,4,,1,0.441513,0,3
268,105198,227,5,1.0,0.5772,4,,1,0.657096,0,4
269,113407,172,2,1.0,0.8695700000000001,4,,2,0.817841,0,3
270,109963,300,4,1.0,0.8534809999999999,6,,1,0.0681599,1,5
271,114250,168,2,1.0,0.730316,5,,1,0.783487,0,4
272,103150,151,6,,,5,,2,0.9959950000000001,0,3
273,113689,197,5,,0.6021529999999999,5,,1,0.236961,0,4
274,109668,112,7,,0.5759340000000001,2,,2,0.446114,0,3
275,117858,222,2,,0.7399680000000001,4,,1,0.583703,0,3
276,119664,162,2,1.0,0.948158,3,,1,0.7063119999999999,0,3
277,117477,237,5,,0.548864,5,,1,0.871685,0,3
278,114579,217,5,1.0,1.0,5,,1,0.49964899999999995,0,2
279,111857,140,9,,0.816348,4,,1,0.620522,0,3
280,107560,230,4,,0.7978430000000001,3,,2,0.588246,0,3
281,117946,145,5,,0.507109,2,,1,0.353699,1,3
282,108665,148,3,,0.623268,3,,2,0.5403,0,3
283,101704,168,2,,0.58912,4,,1,0.47590200000000005,0,2
284,115914,256,2,,0.622816,4,,1,0.723908,0,3
285,113748,154,2,,0.619728,3,,2,0.568666,0,2
286,110470,154,4,,0.594949,5,,1,0.9111030000000001,0,3
287,117213,198,2,,0.47888100000000006,4,,2,0.953008,0,7
288,106813,132,6,,1.0,4,,2,1.0,0,2
289,106813,132,6,,1.0,4,,2,1.0,0,2
290,108462,153,4,,0.524526,2,,1,0.34599,1,3
291,119746,141,2,,0.45918000000000003,2,,1,0.438866,1,3
292,112891,193,3,1.0,0.356863,3,,1,0.290668,0,3
293,125520,262,5,1.0,0.913076,6,,1,0.10363800000000001,1,4
294,119921,253,9,,0.8707940000000001,3,,1,0.523738,0,2
295,113411,210,6,,0.927924,4,,1,0.598533,0,3
296,107372,170,3,,0.727618,4,,1,0.8837290000000001,0,2
297,115994,150,5,1.0,0.926249,3,,2,0.5365260000000001,0,2
298,121045,145,4,,0.552856,2,,1,0.412152,1,3
299,102207,163,4,,,3,,1,0.5849479999999999,0,2
300,118115,260,2,,0.765784,5,,1,0.711329,0,3
301,104407,205,5,,0.8664069999999999,4,,2,0.763966,0,4
302,115004,250,2,,0.6903630000000001,3,,2,0.268557,0,5
303,114842,180,3,,0.463153,4,,1,0.882368,0,2
304,118540,166,4,,0.54357,5,,2,0.452499,0,2
305,114680,145,7,,0.5148020000000001,2,,1,0.491658,1,3
306,104025,234,2,,,4,,2,0.802786,0,3
307,116434,248,5,,0.896041,5,,2,0.9287860000000001,1,5
308,118157,207,2,1.0,0.9189579999999999,3,,1,0.753975,0,4
309,109180,196,5,,0.977555,4,,1,0.24849000000000002,0,5
310,119867,257,5,1.0,,4,,1,0.930248,0,3
311,117103,173,6,,0.7008,4,,2,0.589414,0,3
312,112827,258,4,,0.855049,5,,1,0.8896209999999999,1,5
313,100266,191,4,,0.6062890000000001,4,,1,0.964772,0,3
314,100513,156,6,,0.649564,5,,1,0.809893,0,2
315,104489,286,5,,0.961879,6,,2,0.08866460000000001,1,4
316,107058,274,3,,0.469822,5,,2,0.99811,0,4
317,100798,268,2,1.0,0.808787,5,,2,0.533709,0,3
318,103183,180,10,,0.718499,5,,1,0.6817810000000001,0,3
319,113865,215,5,,0.76248,5,,1,0.20675700000000002,0,4
320,118513,257,5,,0.9145030000000001,4,,3,0.6064510000000001,0,2
321,118151,161,7,,0.955893,4,,1,0.733583,0,3
322,119125,191,7,,0.546501,3,,2,0.737499,0,4
323,103766,204,4,,0.8682200000000001,3,,1,0.8059569999999999,0,3
324,115547,141,2,1.0,0.9436190000000001,6,,1,0.196958,0,3
325,122441,271,5,,0.799375,6,,2,0.144235,1,4
326,113054,208,3,,0.607462,5,,1,0.574724,0,3
327,115386,192,5,,0.9643930000000001,4,,1,0.592935,0,3
328,112118,161,3,,0.785617,4,,1,0.666779,0,6
329,105344,181,10,,0.715062,3,,2,0.44109499999999996,0,3
330,118832,145,5,,0.956025,4,,2,0.683964,0,3
331,107249,167,5,1.0,0.49165600000000004,4,,1,0.8684139999999999,0,3
332,119736,228,4,1.0,0.841945,5,,1,0.9261020000000001,1,5
333,125513,245,2,,0.894532,5,,1,0.862534,1,5
334,101667,195,2,,0.9611879999999999,4,,2,0.7812060000000001,0,3
335,145462,210,2,,0.736896,2,,2,0.685204,0,2
336,118361,274,4,,0.878575,5,,2,0.79105,1,6
337,108909,252,4,,,5,,2,0.8700389999999999,0,3
338,108028,264,5,,0.583058,2,,1,0.649413,1,4
339,110631,306,2,,0.83145,6,,1,0.16392400000000001,1,4
340,101922,178,2,,0.563325,4,,2,0.546087,0,3
341,106266,140,10,,0.587382,3,,2,0.7944869999999999,0,3
342,101595,143,2,,0.463822,2,,1,0.404721,1,3
343,105313,251,2,,0.507167,2,,2,0.831089,0,3
344,115491,217,1,,,3,,3,0.85331,0,3
345,106853,159,2,,0.651826,5,,1,0.48354300000000006,0,4
346,106923,243,2,1.0,,3,,2,0.5618340000000001,0,3
347,103808,281,6,,0.540866,6,,2,0.29682,0,3
348,102576,142,4,,0.661502,6,,1,0.099552,0,5
349,116003,231,4,,0.601963,3,,1,0.8341049999999999,0,2
350,101536,164,0,,0.643403,3,,2,0.77883,0,4
351,119516,56,8,,,1,,2,0.6212118710642862,0,3
352,119742,160,4,,0.9065409999999999,3,,1,1.0,0,3
353,117736,146,2,1.0,0.459685,3,,2,0.388205,0,2
354,119072,167,4,,0.963249,4,,1,1.0,0,4
355,114243,162,2,,0.572905,4,,1,0.8908149999999999,0,2
356,102659,162,3,,0.490633,3,,2,0.775682,0,2
357,125351,128,5,,0.542553,2,,1,0.41488800000000003,1,3
358,113190,135,8,1.0,,2,,2,0.6212118710642862,0,3
359,102954,228,7,,,3,1.0,2,0.932351,0,2
360,102778,268,2,,0.6362260000000001,5,,2,0.16655,0,3
361,101096,152,5,,0.609517,4,,1,0.79735,0,3
362,108894,232,5,,0.669899,4,,3,0.704429,0,3
363,142266,195,3,,0.512644,5,,1,0.90051,0,4
364,109544,211,4,,0.8110890000000001,5,,1,1.0,0,4
365,114858,258,5,,0.741692,3,,2,0.892133,0,3
366,107508,171,2,,0.648146,2,,2,0.40136,0,3
367,117374,146,4,,0.6438649999999999,5,,1,0.761153,0,3
368,102619,243,3,,0.815641,5,,1,0.7853220000000001,1,5
369,111326,135,4,,0.546112,2,,1,0.352473,1,3
370,114836,257,4,,0.8480840000000001,4,,2,0.551892,0,2
371,102979,113,4,,0.463366,4,,1,0.363527,0,3
372,108031,245,1,,0.9813350000000001,4,,1,0.70021,1,5
373,101823,242,2,,0.959741,5,,1,0.88474,1,5
374,100302,242,4,,0.5270050000000001,4,,2,0.817307,0,3
375,100930,148,5,,0.929032,4,,2,0.968676,0,3
376,105360,229,4,,0.518062,4,,3,0.343783,0,6
377,116849,291,7,,0.759482,6,,1,0.159985,1,4
378,117779,168,5,,0.540285,3,,2,0.749382,0,2
379,119540,166,2,,0.608459,4,,3,0.794263,0,3
380,108254,227,5,,0.619424,4,,2,0.646112,0,3
381,116211,216,2,,0.815925,3,,2,0.788569,0,3
382,126738,153,2,,0.480687,2,,2,0.373102,1,3
383,105713,268,4,,0.548609,3,,2,0.8484649999999999,0,3
384,146012,229,6,,0.831176,4,,2,0.185943,0,4
385,100861,235,5,,0.8460059999999999,4,,1,0.905014,0,3
386,108095,257,2,,0.705896,3,,1,0.7390939999999999,0,3
387,107367,154,2,,,2,,1,0.379098,1,3
388,138275,130,5,,0.489624,2,,1,0.46433199999999997,1,3
389,117351,151,7,,0.6631020000000001,5,,2,0.639371,0,4
390,116615,102,2,,0.841405,3,,2,0.492575,0,3
391,113916,148,2,,0.8455090000000001,4,,2,0.190022,0,5
392,117725,272,4,,0.660629,5,,2,0.78798,0,3
393,114557,174,2,,0.5738800000000001,3,,1,0.578987,0,2
394,116335,157,2,,0.666563,4,,2,0.8274940000000001,0,2
395,117182,306,6,,0.802272,7,,2,0.13175699999999999,1,4
396,107224,277,5,,0.395777,2,,2,0.606683,0,2
397,100411,148,2,,0.426012,6,,1,0.5291520000000001,0,4
398,102663,252,4,,0.6351600000000001,2,,1,0.71177,0,3
399,106424,173,3,,0.806597,5,,3,0.200199,0,4
400,140481,234,5,,0.618305,5,,1,0.956018,0,6
401,104037,246,4,,0.8597370000000001,5,,2,0.875425,0,3
402,102847,145,2,,0.900294,5,,2,0.812149,0,6
403,105068,217,4,,0.9549719999999999,4,,2,0.51889,0,2
404,104171,108,1,,0.47831,3,,2,0.5373140000000001,0,5
405,107227,217,3,,0.528443,3,,3,0.729664,0,2
406,104696,192,2,,0.8317680000000001,4,,2,0.705573,0,3
407,114653,238,6,,0.596817,4,,2,0.777985,0,4
408,100636,243,5,1.0,0.7486520000000001,6,,1,0.202654,0,6
409,114321,177,7,,0.50375,4,,3,0.553778,0,2
410,105801,96,8,1.0,,1,,2,0.6212118710642862,0,3
411,107025,238,2,,0.812474,3,,1,0.664192,0,2
412,106310,252,5,,0.973801,3,,2,0.726406,0,3
413,101685,182,5,,0.59477,3,,2,0.574048,0,3
414,118661,157,5,,0.8626780000000001,3,1.0,1,0.600038,0,4
415,106654,182,6,1.0,0.454139,3,,1,0.13542,0,3
416,113375,154,5,,0.708939,3,,1,0.9843629999999999,0,3
417,128789,296,5,,0.9367850000000001,6,,1,0.145722,1,4
418,116056,171,2,1.0,1.0,5,,1,0.58986,0,3
419,116053,146,4,,0.49720299999999995,2,,1,0.409646,1,3
420,120935,256,4,,0.80492,6,,2,0.0785679,1,5
421,112259,279,2,,0.8510620000000001,6,,1,0.0660998,1,4
422,100586,151,3,,0.611842,2,,2,0.424099,0,3
423,110789,293,6,,0.803451,6,,1,0.06955510000000001,1,4
424,106970,194,2,,0.869707,3,,2,1.0,0,3
425,138695,202,2,,0.780092,3,,1,0.632232,0,3
426,113605,217,9,,0.631524,4,,2,0.984791,0,4
427,100855,209,4,,0.6767350000000001,4,,2,0.561753,0,2
428,121619,192,10,,0.972842,4,,1,0.253187,1,4
429,100833,141,2,,0.537866,3,,1,0.610841,0,3
430,124669,263,2,,0.93739,5,,2,0.8200620000000001,1,5
431,121943,141,6,,0.548787,2,,2,0.457787,1,3
432,105978,226,6,,0.74908,3,,1,0.696681,0,3
433,102179,179,2,1.0,0.5684020000000001,3,,1,0.763163,0,3
434,106383,201,2,,0.878813,3,,1,0.5658880000000001,0,2
435,111177,251,5,,0.79356,6,,1,0.104539,1,4
436,109021,144,10,,0.818732,3,,2,0.734638,0,2
437,105105,142,2,,,2,,1,0.439011,1,3
438,106404,243,4,,0.937757,3,,2,0.509149,0,4
439,100194,167,5,,,3,,3,0.695064,0,2
440,115996,208,2,,0.5278729999999999,3,,2,0.8533459999999999,0,3
441,104505,222,3,,0.823102,5,,1,0.816186,1,5
442,106737,225,5,1.0,0.74026,3,,1,0.687887,0,4
